feature	group	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
Nav2	12	12.5185185185185	6.79278731449914	49173149.5	0.742715592735779	6.244533710332e-288	4.03209541676138e-284	86.3973063973064	37.4080387582989
Ophn1	12	9.78787878787879	5.40370509327983	49093093.5	0.741506419841697	1.15546375797998e-266	6.21735790439729e-263	89.4276094276094	42.7754351336802
Mir99ahg	12	7.22154882154882	3.77569380629671	48717228.5	0.735829321687477	5.04946147329486e-302	4.07554659163311e-298	82.4915824915825	31.042526466894
Dst	12	6.4026936026936	3.43328753773756	48578696.5	0.733736922125133	5.33435740156903e-252	2.1527466088707e-248	87.6767676767677	42.1115198277409
Nav3	12	8.92390572390572	4.75314939876666	48534226.5	0.7330652433178	4.31585544818145e-302	4.07554659163311e-298	79.6632996632997	29.9165619953346
Cadm1	12	4.93198653198653	2.84984944244768	47715539	0.720699715016062	1.949726007592e-258	8.99241487930111e-255	77.3063973063973	32.58568096178
Mertk	12	11.0693602693603	5.31043330004392	47657804	0.719827680477241	1.61149527891389e-214	3.06041912233735e-211	89.5622895622896	45.8527722949937
Dock4	12	16.1919191919192	8.44082014293301	47556769.5	0.718301646466459	2.05185960372809e-192	3.01110396847097e-189	95.2188552188552	59.5594832226808
Tmcc3	12	13.7286195286195	6.79014384227465	47446821	0.716640974612444	1.47027933573425e-198	2.37339841770901e-195	91.7845117845118	51.7338058496322
Srgap2	12	16.8397306397306	8.4550859241376	47249295.826416	0.713657536946352	2.15997503047326e-177	2.49052835210104e-174	95.7575757575758	72.2949937197201
Rapgef5	12	4.76161616161616	2.72759050218677	47214243.5	0.713128103512546	1.98083798956048e-250	7.10570605477334e-247	74.2760942760943	30.6253364435672
Plcl1	12	7.64377104377104	4.05607142058784	46899981	0.708381454958702	4.23114638182631e-204	7.18960847038223e-201	81.1447811447811	40.850977929302
Frmd4a	12	7.66734006734007	3.90379260636752	46741498.3706055	0.705987719328059	1.0291118153069e-177	1.23055092434012e-174	88.013468013468	53.8175130091513
Epb41l2	12	15.0531986531987	7.46130470021103	46707903.619873	0.705480301246103	2.06513291867714e-164	1.90493760798547e-161	95.5555555555556	71.9518212811771
Gm26917	12	4.35622895622896	2.96734505168921	46667909.7148438	0.704876229772511	4.93512770343294e-188	6.92741730023185e-185	76.0942760942761	47.1222860218913
Cacnb2	12	5.196632996633	2.96280471742969	46394924	0.700753029426993	7.51582661955699e-243	2.20589511283998e-239	68.4175084175084	26.7158621927149
Mef2c	12	12.376430976431	5.80510494018479	46353740	0.700130982653861	2.06260950048473e-164	1.90493760798547e-161	91.5151515151515	56.9845684550511
Cd79b	13	8.07262569832402	7.88851834343906	62293005.5	0.974543588610446	0	0	96.4385474860335	12.8861706655913
Cd79a	13	12.0384078212291	11.9908911870466	62271029	0.974199777021919	0	0	95.1815642458101	1.13806931469409
Ly6d	13	17.2311452513966	16.5688247549475	62213838	0.973305051812742	0	0	97.2067039106145	3.13641149718843
Igkc	13	642.562849162011	641.578553622436	61544516	0.96283383664853	0	0	94.2737430167598	16.5826556444205
