feature	group	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
Ptma	17	159.327909887359	139.775734053474	34761804.0546875	0.961047898527	0	0	100	95.7985420808483
H2afz	17	73.1989987484355	65.0484354614905	34725464.2441406	0.96004322401402	0	0	100	87.0885796333112
Lmnb1	17	15.0463078848561	14.0121572332104	34714060.6789551	0.959727953484906	0	0	98.4981226533166	37.4618952948973
Cks1b	17	9.15894868585732	8.79791488864062	34655644	0.958112927220435	0	0	95.4943679599499	15.0320300419704
Nucks1	17	13.9036295369212	12.455849550175	34604220.8720703	0.956691249307667	0	0	98.6232790988736	56.4280980781975
Lgals1	17	60.7434292866083	55.274023499111	34586082.2294922	0.956189776360394	0	0	99.6245306633292	61.654517340402
Hmgn2	17	14.8598247809762	13.6518283153257	34568054.3222656	0.95569136487612	0	0	98.1226533166458	46.5230837199028
Birc5	17	13.819774718398	13.4732980230147	34555775	0.955351882585726	0	0	93.8673341677096	9.01700905677049
Ptprcap	17	15.9774718397997	14.2076463483043	34506378.3828125	0.953986230933479	0	0	99.3742177722153	37.8617185774243
Dut	17	19.2302878598248	18.6422825583006	34485291.3388672	0.953403244525814	0	0	95.4943679599499	24.4311906339739
Cbx3	17	11.0387984981227	9.80290276143169	34465184.8623047	0.952847367534597	0	0	98.1226533166458	55.3346587143804
Rac2	17	25.8010012515645	21.3010012515645	34460066.6289062	0.952705865458238	0	0	100	79.8983874530594
Lockd	17	7.9261576971214	7.62076781419673	34420794.5	0.951620122126371	0	0	94.7434292866083	13.4923790589795
Skap1	18	8.82608695652174	2.79847892029718	19182903.5	0.733318048629442	4.42306308649075e-105	4.24995808771887e-103	95.4782608695652	39.1809908998989
Gm2682	18	6.48347826086956	2.67128324614235	18562975	0.709619615391232	4.45774118847464e-98	3.69969599665562e-96	76.1739130434783	30.8831933881391
Tnik	18	2.2904347826087	0.903834351782653	17734067.4892578	0.677932397746012	7.47674084054611e-68	2.97274110883043e-66	72.8695652173913	33.5582714204071
Il2rb	18	3.09391304347826	1.03599331780015	17676139.5	0.675717944650131	2.91790961983675e-65	1.06929298611157e-63	74.9565217391304	34.3363960082648
Ptpn22	18	3.07826086956522	1.17932914230448	17634716.828125	0.67413445167638	2.12055615991333e-56	6.03190798438784e-55	79.4782608695652	43.8937002681672
Prkcq	18	2.37217391304348	0.805857475711083	17597812.4042969	0.672723680878965	1.6273561072099e-62	5.53626890635106e-61	73.9130434782609	34.962852244252
Satb1	18	3.11478260869565	1.61260649756012	17596543.5	0.672675173601488	2.18511630504426e-65	8.04406840460135e-64	65.5652173913043	32.4790082208643
Ablim1	18	2.75652173913043	0.879504989668968	17586209.5732422	0.672280131474277	1.08268279315635e-57	3.23651981269007e-56	81.2173913043478	40.0624258143931
Tox	18	3.46434782608696	1.26232118521124	17581971.5	0.672118119732941	4.43761253402696e-72	1.94922885253143e-70	64.5217391304348	27.5223106343694
Ms4a4b	18	5.46434782608696	0.269816679122521	17573237.5	0.671784239106543	7.58958303124297e-56	2.1214691615903e-54	85.5652173913043	42.1572075438519
Itk	18	2.22086956521739	0.698031388754561	17476424	0.668083282840929	7.97120254492653e-63	2.74653440942319e-61	70.4347826086957	31.7294588297358
Bcl2	18	5.23652173913043	2.15862135666242	17446825.7485352	0.666951810120595	5.93094514134676e-52	1.4820477081144e-50	74.6086956521739	43.9486525695696
Txk	18	1.75130434782609	0.941351386996087	17302615.5	0.661438985742984	6.31156840499095e-73	2.84593555803258e-71	56.3478260869565	22.6535367301183
Stat4	18	2.6904347826087	0.602686947729371	17300303.730957	0.661350612157438	1.34738712301484e-51	3.33336346869994e-50	76	38.9897568910186
Cd247	18	2.05217391304348	0.544260781641535	17295812	0.661178903668138	3.00506828071894e-57	8.86014880758091e-56	70.0869565217391	32.355915065723
Ikzf3	18	2.27826086956522	0.722539235943201	17111901	0.654148411352859	4.39530210581782e-51	1.06613319674176e-49	69.0434782608696	33.9297489778872
Kcnq5	18	3.42608695652174	1.86662856640436	17015552.5	0.650465230962134	2.29599418202308e-67	8.98499056565033e-66	51.6521739130435	20.9478172945883
Ppp1r16b	18	1.57217391304348	0.609277706950367	17009995.9492188	0.650252816872889	6.73219124252632e-51	1.62079637781478e-49	63.1304347826087	31.5799885699213
Clnk	18	1.76521739130435	1.03525300039566	16818017.5	0.642913924626468	1.87028272241616e-80	1.0131221089464e-78	43.8260869565217	14.6305007253704
Prkch	18	5.17739130434783	1.32083879192861	16795718.2692871	0.64206147659365	1.65523671117494e-33	2.28373150514029e-32	86.4347826086956	63.0874401019915
Sdk1	19	24.4855967078189	23.7389367688066	21702299	0.979640133690011	0	0	98.7654320987654	19.0312177785578
Top2a	19	16.7325102880658	15.6871205594389	21657382	0.977612583710861	0	0	99.7942386831276	16.2077967663383
Mki67	19	12.3765432098765	11.6070677475331	21543859.5	0.972488186656115	0	0	99.5884773662551	14.06226005309
Diaph3	19	9.66049382716049	9.13106399586374	21522345.5	0.971517046325028	0	0	98.7654320987654	14.5646403264375
Knl1	19	6.02263374485597	5.75323506552376	21397140.5	0.965865302104811	0	0	97.119341563786	7.55544830309545
Prc1	19	7.02674897119342	6.71470281363468	21378982.5	0.965045651359628	0	0	96.7078189300412	9.17666673979334
Kif11	19	5.06378600823045	4.76909281120525	21292636	0.961147976887275	0	0	96.7078189300412	6.80078099291403
