group1	day1	celltype1	group2	day2	celltype2	valtype	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
NEO	12	M6	CTRL	16	M6	p	2.647807e-01	2.647807e-01	1.029885e-04	3.044927e-01	2.647807e-01	4.976338e-05	2.647807e-01	6.114311e-02	6.325812e-01	1.234283e-02	3.011453e-01	1.234283e-02	6.114311e-02	6.325812e-01	1.167780e-04
NEO	16	M6	CTRL	16	M6	p	0.9999989	0.9999989	0.3565001	0.9557022	0.9999989	1.0000000	0.9999989	1.0000000	0.9997186	0.6158635	0.9999149	0.6158635	1.0000000	0.9997186	1.0000000
NEO	12	M7	CTRL	16	M7	p	0.9845195	0.9845195	1.0000000	1.0000000	0.9845195	0.9762065	0.9845195	0.9952159	1.0000000	1.0000000	1.0000000	1.0000000	0.9952159	1.0000000	0.9999998
NEO	16	M7	CTRL	16	M7	p	1.000000e+00	1.000000e+00	0.000000e+00	7.737301e-04	1.000000e+00	2.412833e-01	1.000000e+00	1.000000e+00	1.280726e-02	1.444032e-05	2.851496e-02	1.444032e-05	1.000000e+00	1.280726e-02	7.624117e-01
NEO	12	M8	CTRL	16	M8	p	9.999653e-01	9.999653e-01	0.000000e+00	2.605468e-03	9.999653e-01	5.639149e-04	9.999653e-01	9.994961e-01	5.217583e-03	3.073759e-06	3.351071e-06	3.073759e-06	9.994961e-01	5.217583e-03	9.626386e-04
NEO	16	M8	CTRL	16	M8	p	1.0000000000	1.0000000000	0.0000318995	0.0110418248	1.0000000000	0.4952830726	1.0000000000	1.0000000000	0.0117888776	0.0150932486	0.0174858791	0.0150932486	1.0000000000	0.0117888776	0.1489423177
NEO	12	M9	CTRL	16	M9	p	0.9999769	0.9999769	0.9999852	0.9999174	0.9999769	1.0000000	0.9999769	0.9999969	0.9999968	0.9981651	0.9999999	0.9981651	0.9999969	0.9999968	1.0000000
NEO	16	M9	CTRL	16	M9	p	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NEO	16	M1	NEO	12	M1	p	3.534269e-06	3.534269e-06	1.000000e+00	1.000000e+00	3.534269e-06	1.785828e-02	3.534269e-06	0.000000e+00	9.986602e-01	1.000000e+00	9.826128e-01	1.000000e+00	0.000000e+00	9.986602e-01	0.000000e+00
NEO	16	M2	NEO	12	M2	p	0.0084091459	0.0084091459	0.0000000000	0.0000000000	0.0084091459	0.0000000000	0.0084091459	0.0000199187	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000199187	0.0000000000	0.0000000000
NEO	16	M3	NEO	12	M3	p	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.9989487
NEO	16	M4	NEO	12	M4	p	0.000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	0.000000e+00	4.689213e-07	0.000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	0.000000e+00	1.000000e+00	0.000000e+00
NEO	16	M5	NEO	12	M5	p	1.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.712650e-04	1.000000e+00	1.000000e+00	2.508647e-06	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	2.508647e-06	9.022687e-02
NEO	16	M6	NEO	12	M6	p	9.960078e-01	9.960078e-01	0.000000e+00	0.000000e+00	9.960078e-01	0.000000e+00	9.960078e-01	4.331270e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.331270e-01	0.000000e+00	1.038350e-07
NEO	16	M7	NEO	12	M7	p	0.916013337	0.916013337	0.000000000	0.000000000	0.916013337	0.000000000	0.916013337	0.565187160	0.000000000	0.000000000	0.000000000	0.000000000	0.565187160	0.000000000	0.000283329
NEO	16	M8	NEO	12	M8	p	0.5747024	0.5747024	0.0000000	0.0000000	0.5747024	0.0000000	0.5747024	0.2139507	0.0000000	0.0000000	0.0000000	0.0000000	0.2139507	0.0000000	0.0000000
NEO	16	M9	NEO	12	M9	p	1.0000000	1.0000000	1.0000000	0.9996543	1.0000000	1.0000000	1.0000000	1.0000000	0.9998278	0.9988337	0.9999904	0.9988337	1.0000000	0.9998278	1.0000000
pathways	NA	NA	NA	NA	NA	NA	BIOCARTA_CLASSIC_PATHWAY	BIOCARTA_COMP_PATHWAY	BIOCARTA_EXTRINSIC_PATHWAY	BIOCARTA_INTRINSIC_PATHWAY	BIOCARTA_LECTIN_PATHWAY	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	REACTOME_COMPLEMENT_CASCADE	REACTOME_DEFECTS_OF_CONTACT_ACTIVATION_SYSTEM_CAS_AND_KALLIKREIN_KININ_SYSTEM_KKS	REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION	REACTOME_HEMOSTASIS	REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION
